Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
2	Ackermann, Kathrin; Zackrisson, Olle; Rousk, Johannes; Jones, David L.; DeLuca, Thomas H.	N-2 Fixation in Feather Mosses is a Sensitive Indicator of N Deposition in Boreal Forests	ECOSYSTEMS	2012	Bryophyta	Moss	Diazotrophs	Diazotrophs
9	Akther, Hasna; Rousk, Kathrin	High heavy metal load does not inhibit nitrogen fixation in moss-cyanobacteria associations	ECOTOXICOLOGY	2019	Bryophyta	Moss	Diazotrophs	Diazotrophs
10	Alamgir, Kabir M.; Masuda, Sachiko; Fujitani, Yoshiko; Fukuda, Fumio; Tani, Akio	Production of ergothioneine by Methylobacterium species	FRONTIERS IN MICROBIOLOGY	2015	Bryophyta	Moss	Methylotrophs	Methylotrophs
11	Alcaraz, Luis D.; Peimbert, Mariana; Barajas, Hugo R.; Dorantes-Acosta, Ana E.; Bowman, John L.; Arteaga-Vazquez, Mario A.	Marchantia liverworts as a proxy to plants' basal microbiomes	SCIENTIFIC REPORTS	2018	Marchantiophyta	Liverwort	Other Prokaryotes	Other Prokaryotes
14	Ali, Tehane; Inagaki, Masanori; Chai, Hee-byung; Wieboldt, Thomas; Rapplye, Chad; Rakotondraibe, L. Harinantenaina	Halogenated Compounds from Directed Fermentation of Penicillium concentricum, an Endophytic Fungus of the Liverwort Trichocolea tornentella	JOURNAL OF NATURAL PRODUCTS	2017	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
15	Ali, Tehane; Pham, Tiffany M.; Ju, Kou-San; Rakotondraibe, Harinantenaina L.	Ent-homocyclopiamine B, a Prenylated Indole Alkaloid of Biogenetic Interest from the Endophytic Fungus Penicillium concentricum	MOLECULES	2019	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
19	Alvarenga, Danillo O; Rousk, Kathrin	Indirect effects of climate change inhibit N2 fixation associated with the feathermoss Hylocomium splendens in subarctic tundra.	The Science of the total environment	2021	Bryophyta	Moss	Diazotrophs	Diazotrophs
23	Analia Silvani, Vanesa; Paola Rothen, Carolina; Alejandra Rodriguez, Maria; Godeas, Alicia; Fracchia, Sebastian	The thalloid liverwort Plagiochasma rupestre supports arbuscular mycorrhiza-like symbiosis in vitro	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY	2012	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
24	Anaya-Eugenio, Gerardo D.; Ali, Tehane; Rakotondraibe, Liva Harinantenaina; de Blanco, Esperanza Carcache	Cytotoxic constituents from Penicillium concentricum, an endophytic fungus from Trichocolea tomentella	ANTI-CANCER DRUGS	2019	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
33	Aschenbrenner, Ines Aline; Cernava, Tomislav; Erlacher, Armin; Berg, Gabriele; Grube, Martin	Differential sharing and distinct co-occurrence networks among spatially close bacterial microbiota of bark, mosses and lichens	MOLECULAR ECOLOGY	2017	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
39	Bai, Fa-Yan; Chen, Xue-Ping; Huang, Ji-Zhong; Lu, Yong-Sheng; Dong, Hai-Yan; Wu, Yu-Huan; Song, Shao-Lei; Yu, Juan; Bai, Shuang; Chen, Zheng; Yang, Tian-Yu; Peng, Xue-Yi	Microbial biofilms on a giant monolithic statue of Buddha: The symbiosis of microorganisms and mosses and implications for bioweathering	INTERNATIONAL BIODETERIORATION & BIODEGRADATION	2021	Bryophyta, Marchantiophyta	Mix	Mix	Other Prokaryotes, Other Fungi
52	Baulina, OI; Gorelova, OA	Crystal-like inclusions in the symbiotic cyanobacterium Nostoc sp.	MICROBIOLOGY	1996	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
53	Bay, Guillaume; Nahar, Nurun; Oubre, Matthieu; Whitehouse, Martin J.; Wardle, David A.; Zackrisson, Olle; Nilsson, Marie-Charlotte; Rasmussen, Ulla	Boreal feather mosses secrete chemical signals to gain nitrogen	NEW PHYTOLOGIST	2013	Bryophyta	Moss	Diazotrophs	Diazotrophs
73	Bidartondo, Martin I.; Duckett, Jeffrey G.	Conservative ecological and evolutionary patterns in liverwort-fungal symbioses	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2010	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
74	Bidartondo, Martin I.; Read, David J.; Trappe, James M.; Merckx, Vincent; Ligrone, Roberto; Duckett, Jeffrey G.	The dawn of symbiosis between plants and fungi	BIOLOGY LETTERS	2011	Marchantiophyta, Anthocerotophyta	Mix	Mucoromycota	Mucoromycota
